IdSorteo,Numeros_Sorteo,Numeros_Prospecto,Aciertos,Numeros_Acertados,Numero_Superbalota,Superbalota_Acertada
2254,"{2, 8, 17, 20, 25}","{32, 34, 4, 38, 11, 13, 14, 16, 17, 21, 26, 29}",1,[17],7,False
2255,"{32, 3, 11, 27, 31}","{32, 33, 34, 4, 38, 11, 13, 14, 15, 16, 19, 21, 26, 28, 29}",2,"[32, 11]",12,False
2256,"{32, 36, 37, 42, 12}","{33, 1, 35, 4, 38, 43, 12, 13, 14, 15, 16, 19, 21, 26, 28, 29}",1,[12],11,False
2257,"{32, 33, 40, 17, 25}","{1, 33, 35, 4, 6, 38, 41, 43, 13, 14, 15, 16, 19, 21, 26, 28, 29, 30}",2,[33],3,True
2258,"{2, 37, 42, 17, 24}","{1, 35, 4, 6, 38, 41, 9, 43, 13, 14, 15, 16, 19, 21, 24, 28, 29, 30}",1,[24],11,False
2259,"{33, 2, 34, 23, 25}","{1, 35, 4, 6, 7, 8, 9, 41, 43, 15, 19, 20, 21, 28, 29, 30}",1,[],10,True
2260,"{32, 36, 10, 29, 30}","{1, 35, 3, 6, 7, 8, 41, 9, 43, 10, 15, 19, 20, 27, 28, 29, 30}",4,"[10, 29, 30]",4,True
2261,"{2, 37, 7, 12, 21}","{35, 3, 6, 7, 8, 41, 39, 9, 11, 12, 20, 27}",3,"[12, 7]",9,True
2262,"{5, 7, 10, 22, 31}","{3, 6, 39, 8, 41, 11, 20, 27, 31}",1,[31],12,False
2263,"{2, 40, 14, 15, 28}","{6, 39, 8, 41, 40, 11, 42, 20, 27}",1,[40],5,False
2264,"{39, 8, 12, 16, 26}","{33, 34, 39, 41, 42, 11, 24, 27}",1,[39],6,False
2265,"{32, 1, 39, 10, 14}","{33, 34, 42, 11, 23, 24, 27, 30}",0,[],10,False
2266,"{3, 8, 43, 12, 13}","{33, 34, 3, 36, 37, 42, 11, 17, 22, 23, 24, 25, 27, 29, 30}",2,[3],7,True
2267,"{8, 42, 11, 17, 29}","{33, 34, 2, 36, 5, 37, 42, 11, 17, 21, 23, 24, 25, 27, 29, 30}",4,"[17, 42, 11, 29]",13,False
2268,"{35, 7, 15, 22, 25}","{33, 34, 2, 36, 5, 37, 7, 15, 21, 22, 23, 24, 25, 27, 30}",4,"[25, 15, 22, 7]",9,False
2269,"{38, 7, 20, 25, 30}","{33, 34, 2, 36, 5, 37, 40, 21, 23, 24, 30, 31}",2,[30],4,True
2270,"{6, 8, 13, 14, 22}","{33, 2, 1, 36, 37, 5, 40, 14, 16, 21, 23, 24, 28, 31}",1,[14],12,False
2271,"{32, 35, 12, 14, 20}","{32, 1, 2, 3, 36, 37, 5, 40, 12, 16, 21, 23, 26, 28, 31}",2,"[32, 12]",9,False
2272,"{36, 39, 42, 16, 23}","{1, 2, 3, 36, 37, 5, 40, 42, 43, 16, 21, 23, 26, 28, 31}",5,"[16, 42, 36, 23]",11,True
2273,"{33, 4, 5, 12, 24}","{1, 2, 3, 40, 43, 11, 15, 21, 26, 28, 31}",0,[],12,False
